epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.9851021350860596,0.6464,0.46116558867412927,0.8657718120805369
2,0.34285703592300415,0.8824,0.38583615539758,0.8825503355704698
3,0.1844382827937603,0.9584,0.2522864995161759,0.8791946308724832
4,0.1454039369702339,0.9656,0.32373658282644796,0.8590604026845637
5,0.09598169752359391,0.9744,0.3733360312204033,0.8859060402684564
6,0.08513124443814159,0.9808,0.32775715902922736,0.8791946308724832
7,0.08027737076729537,0.9768,0.46159679148871224,0.8859060402684564
8,0.05563991176187992,0.9872,0.4884670109381812,0.8758389261744967
9,0.07328289188146592,0.9792,0.47598448005698674,0.8825503355704698
10,0.042753587109968065,0.9912,0.5215111785574548,0.8523489932885906
11,0.04941159355156124,0.9888,0.6969157765125669,0.87248322147651
12,0.05606101639941335,0.9848,0.6881997784593411,0.87248322147651
13,0.04335032954681665,0.9912,0.7195030502981238,0.87248322147651
